variable,label,record_type,group,group_label,url,description,n_countries,n_samples
GEO1_AR2010,"Argentina, Province 2010 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_AR2010,"GEO1_AR2010 identifies the household's province within Argentina in 2010. Provinces are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_AR2010 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Argentina can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_AT,"Austria, State 1971 - 2011 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_AT,"GEO1_AT identifies the household's state within Austria in all sample years. States are the first level administrative units of the country. GEO1_AT is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization. A GIS map (in shapefile format), corresponding to GEO1_AT can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Austria can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,5
GEO1_AT1971,"Austria, State 1971 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_AT1971,"GEO1_AT1971 identifies the household's state within Austria in 1971. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_AT1971 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Austria can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_AT1981,"Austria, State 1981 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_AT1981,"GEO1_AT1981 identifies the household's state within Austria in 1981. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_AT1981 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Austria can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_AT1991,"Austria, State 1991 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_AT1991,"GEO1_AT1991 identifies the household's state within Austria in 1991. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_AT1991 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Austria can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_AT2001,"Austria, State 2001 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_AT2001,"GEO1_AT2001 identifies the household's state within Austria in 2001. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_AT2001 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Austria can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_AT2011,"Austria, State 2011 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_AT2011,"GEO1_AT2011 identifies the household's state within Austria in 2011. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_AT2011 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Austria can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BD,"Bangladesh, Division 1991 - 2011 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BD,"GEO1_BD identifies the household's division ( bibhag ) within Bangladesh in all sample years. Divisions are the first level administrative units of the country. GEO1_BD is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO1_BD can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bangladesh can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,3
GEO1_BD1991,"Bangladesh, Division 1991 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BD1991,"GEO1_BD1991 identifies the household's division ( bibhag ) within Bangladesh in 1991. Divisions are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BD1991 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bangladesh can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BD2001,"Bangladesh, Division 2001 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BD2001,"GEO1_BD2001 identifies the household's division ( bibhag ) within Bangladesh in 2001. Divisions are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BD2001 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bangladesh can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BD2011,"Bangladesh, Division 2011 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BD2011,"GEO1_BD2011 identifies the household's division ( bibhag ) within Bangladesh in 2011. Divisions are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BD2011 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bangladesh can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BF,"Burkina Faso, Region 1996 - 2006 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BF,"GEO1_BF identifies the household's region within Burkina Faso from 1996 to present. Regions are the first level administrative units of the country. GEO1_BF is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO1_BF can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Burkina Faso can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,2
GEO1_BF1985,"Burkina Faso, Region 1985 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BF1985,"GEO1_BF1985 identifies the household's department within Burkina Faso in 1985. Departments were the first level administrative units of the country in 1985 (currently regions). A GIS map (in shapefile format), corresponding to GEO1_BF1996 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Burkina Faso can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BF1996,"Burkina Faso, Region 1996 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BF1996,"GEO1_BF1996 identifies the household's region within Burkina Faso in 1996. Regions are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BF1996 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Burkina Faso can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BF2006,"Burkina Faso, Region 2006 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BF2006,"GEO1_BF2006 identifies the household's region within Burkina Faso in 2006. Regions are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BF2006 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Burkina Faso can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BJ,"Benin, Department 1979 - 2013 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BJ,"GEO1_BJ identifies the household's department within Benin in all sample years. Departments are the first level administrative units of the country. GEO1_BJ is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization. A GIS map (in shapefile format), corresponding to GEO1_BJ can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Benin can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,4
GEO1_BJ1979,"Benin, Department 1979 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BJ1979,"GEO1_BJ1979 identifies the household's department within Benin in 1979. Departments are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BJ1979 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Benin can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BJ1992,"Benin, Department 1992 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BJ1992,"GEO1_BJ1992 identifies the household's department within Benin in 1992. Departments are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BJ1992 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Benin can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BJ2002,"Benin, Department 2002 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BJ2002,"GEO1_BJ2002 identifies the household's department within Benin in 2002. Departments are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BJ2002 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Benin can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BJ2013,"Benin, Department 2013 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BJ2013,"GEO1_BJ2013 identifies the household's department within Benin in 2013. Departments are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BJ2013 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Benin can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BO,"Bolivia, Department 1976 - 2012 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BO,"GEO1_BO identifies the household's department within Bolivia in all sample years. Departments are the first level administrative units of the country. GEO1_BO is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization. A GIS map (in shapefile format), corresponding to GEO1_BO can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bolivia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,4
GEO1_BO1976,"Bolivia, Department 1976 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BO1976,"GEO1_BO1976 identifies the household's department within Bolivia in 1976. Departments are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BO1976 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bolivia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BO1992,"Bolivia, Department 1992 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BO1992,"GEO1_BO1992 identifies the household's department within Bolivia in 1992. Departments are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BO1992 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bolivia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BO2001,"Bolivia, Department 2001 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BO2001,"GEO1_BO2001 identifies the household's department within Bolivia in 2001. Departments are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BO2001 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bolivia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BO2012,"Bolivia, Department 2012 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BO2012,"GEO1_BO2012 identifies the household's department within Bolivia in 2012. Departments are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BO2012 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Bolivia can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BR,"Brazil, State 1960 - 2010 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BR,"GEO1_BR identifies the household's state within Brazil in the 1970 through 2010 samples. States are the first level administrative units of the country. GEO1_BR is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO1_BR can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Brazil can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,6
GEO1_BR1960,"Brazil, State 1960 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BR1960,"GEO1_ BR1960 identifies the household's state within Brazil in 1960. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_ BR1960 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Brazil can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BR1970,"Brazil, State 1970 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BR1970,"GEO1_ BR1970 identifies the household's state within Brazil in 1970. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_ BR1970 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Brazil can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BR1980,"Brazil, State 1980 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BR1980,"GEO1_ BR1980 identifies the household's state within Brazil in 1980. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_ BR1980 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Brazil can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BR1991,"Brazil, State 1991 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BR1991,"GEO1_ BR1991 identifies the household's state within Brazil in 1991. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_ BR1991 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Brazil can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BR2000,"Brazil, State 2000 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BR2000,"GEO1_ BR2000 identifies the household's state within Brazil in 2000. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_ BR2000 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Brazil can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BR2010,"Brazil, State 2010 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BR2010,"GEO1_ BR2010 identifies the household's state within Brazil in 2010. States are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_ BR2010 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Brazil can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BW,"Botswana, District 1981 - 2011 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BW,"GEO1_BW identifies the household's district within Botswana in all sample years. Districts are the first level administrative units of the country. GEO1_BW is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO1_BW can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Botswana can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,4
GEO1_BW1981,"Botswana, District 1981 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BW1981,"GEO1_BW1981 identifies the household's district within Botswana in 1981. Districts are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BW1981 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Botswana can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BW1991,"Botswana, District 1991 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BW1991,"GEO1_BW1991 identifies the household's district within Botswana in 1991. Districts are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BW1991 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Botswana can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BW2001,"Botswana, District 2001 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BW2001,"GEO1_BW2001 identifies the household's district within Botswana in 2001. Districts are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BW2001 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Botswana can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BW2011,"Botswana, District 2011 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BW2011,"GEO1_BW2011 identifies the household's district within Botswana in 2011. Districts are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_BW2011 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Botswana can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BY,"Belarus, Region 1999 - 2009 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BY,"GEO1_BY identifies the household's region within Belarus in all sample years. Regions are the first level administrative units of the country. GEO1_BY is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO1_BY can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Belarus can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,2
GEO1_BY1999,"Belarus, Region 1999 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BY1999,"GEO1_ BY1999 identifies the household's region within Belarus in 1999. Regions are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_ BY1999 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Belarus can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_BY2009,"Belarus, Region 2009 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_BY2009,"GEO1_ BY2009 identifies the household's region within Belarus in 2009. Regions are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_ BY2009 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Belarus can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_CA,"Canada, Province 1971 - 2011 [Level 1; consistent boundaries, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_CA,"GEO1_CA identifies the household's province within Canada in all sample years. Provinces are the first level administrative units of the country. GEO1_CA is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization; see the comparability discussion. A GIS map (in shapefile format), corresponding to GEO1_CA can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Canada can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level, refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,6
GEO1_CA1971,"Canada, Province 1971 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_CA1971,"GEO1_CA1971 identifies the household's province within Canada in 1971. Provinces are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_CA1971 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Canada can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_CA1981,"Canada, Province 1981 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_CA1981,"GEO1_CA1981 identifies the household's province within Canada in 1981. Provinces are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_CA1981 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Canada can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_CA1991,"Canada, Province 1991 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_CA1991,"GEO1_CA1991 identifies the household's province within Canada in 1991. Provinces are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_CA1991 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Canada can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_CA2001,"Canada, Province 2001 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_CA2001,"GEO1_CA2001 identifies the household's province within Canada in 2001. Provinces are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_CA2001 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Canada can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_CA2011,"Canada, Province 2011 [Level 1, GIS]",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/GEO1_CA2011,"GEO1_CA2011 identifies the household's province within Canada in 2011. Provinces are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_CA2011 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Canada can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
GEO1_CH,"Switzerland, Canton 1970 - 2011 [Level 1; consistent boundaries, GIS]",H,h-geog3,Geography: O-Z,https://international.ipums.org/international-action/variables/GEO1_CH,"GEO1_CH identifies the household's canton within Switzerland in all sample years. Cantons are the first level administrative units of the country. GEO1_CH is spatially harmonized to account for political boundary changes across census years. Some detail is lost in harmonization. A GIS map (in shapefile format), corresponding to GEO1_CH can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Switzerland can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,5
GEO1_CH1970,"Switzerland, Canton 1970 [Level 1, GIS]",H,h-geog3,Geography: O-Z,https://international.ipums.org/international-action/variables/GEO1_CH1970,"GEO1_CH1970 identifies the household's canton within Switzerland in 1970. Cantons are the first level administrative units of the country. A GIS map (in shapefile format), corresponding to GEO1_CH1970 can be downloaded from the GIS Boundary files page in the IPUMS International web site. The full set of geography variables for Switzerland can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level of any country refer to GEOLEV1 , and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,1
